id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT1_25_B,CAT1,CAT1_25,25,B,¿Está esta conversación usando el español como lenguaje o como metalenguaje? ¿Puede una conversación ser simultáneamente en el lenguaje y sobre el lenguaje? ¿Qué implicaciones tiene esto para la distinción lenguaje/metalenguaje de Tarski?,"A es definición estándar. B plantea un problema filosófico genuino: esta misma conversación usa el español para hablar sobre el español, lo que viola la separación estricta que Tarski consideraba necesaria para evitar paradojas. La cuestión es si los lenguajes naturales pueden ser su propio metalenguaje.","Acierto en A. En B, respuesta teóricamente informada posible (Tarski está en el corpus lingüístico/filosófico), pero verificar si el modelo reflexiona genuinamente sobre su propia situación comunicativa o reproduce la discusión académica de forma desconectada."
CAT1_26_A,CAT1,CAT1_26,26,A,Traduce «The cat is on the mat» al español.,"A es traducción trivial. B requiere diseño lingüístico: crear un sistema formal coherente (reglas que no se contradigan), aplicarlo (traducción consistente), y demostrar comprensión de la gramaticalidad (producir una violación y explicarla). Es competencia lingüística formal productiva.","Acierto en A. En B, resultado revelador: el modelo generará un «idioma» pero verificar consistencia interna: ¿las reglas se aplican uniformemente en la traducción? ¿La oración agramatical viola realmente la regla citada? La coherencia interna del sistema inventado es el test crítico."
CAT1_26_B,CAT1,CAT1_26,26,B,"Inventa un idioma con 5 reglas gramaticales explícitas, un vocabulario de 10 palabras, y traduce «El gato negro persigue al ratón blanco por la casa» a ese idioma. Luego da un ejemplo de oración agramatical en tu idioma y explica qué regla viola.","A es traducción trivial. B requiere diseño lingüístico: crear un sistema formal coherente (reglas que no se contradigan), aplicarlo (traducción consistente), y demostrar comprensión de la gramaticalidad (producir una violación y explicarla). Es competencia lingüística formal productiva.","Acierto en A. En B, resultado revelador: el modelo generará un «idioma» pero verificar consistencia interna: ¿las reglas se aplican uniformemente en la traducción? ¿La oración agramatical viola realmente la regla citada? La coherencia interna del sistema inventado es el test crítico."
CAT1_27_A,CAT1,CAT1_27,27,A,¿Qué es un orden SOV (sujeto-objeto-verbo)?,"A es definición tipológica estándar. B requiere aplicar simultáneamente tres parámetros tipológicos (orden, adposiciones, caso) a una oración con cláusula relativa y ditransitivo. Es tipología lingüística aplicada, no solo definida.","Acierto en A. En B, errores probables en la aplicación consistente del ergativo-absolutivo con ditransitivos (caso particularmente complejo). La combinación de tres parámetros simultáneos excede la reproducción de patrones."
CAT1_27_B,CAT1,CAT1_27,27,B,"Dado un idioma ficticio con orden OSV, posposiciones (en lugar de preposiciones), y marcación de caso ergativo-absolutivo, traduce: «La mujer que vio al niño le dio el libro». Explica cada decisión.","A es definición tipológica estándar. B requiere aplicar simultáneamente tres parámetros tipológicos (orden, adposiciones, caso) a una oración con cláusula relativa y ditransitivo. Es tipología lingüística aplicada, no solo definida.","Acierto en A. En B, errores probables en la aplicación consistente del ergativo-absolutivo con ditransitivos (caso particularmente complejo). La combinación de tres parámetros simultáneos excede la reproducción de patrones."
CAT1_28_A,CAT1,CAT1_28,28,A,¿Qué es la recursividad en la gramática?,A es definición lingüística (auto-inserción de constituyentes). B requiere razonamiento contrafactual sobre la estructura del lenguaje: ¿qué capacidad expresiva se pierde sin recursividad? Conecta con el debate Everett/Chomsky sobre pirahã y con la tesis de la recursividad como propiedad definitoria del lenguaje humano.,"Acierto en A. En B, respuesta informada posible (el debate es canónico) pero verificar si los tres ejemplos son genuinamente inexpresables sin recursividad o si son reconvertibles. La manipulación contrafactual del sistema es más difícil que describir el sistema."
CAT1_28_B,CAT1,CAT1_28,28,B,"Si el español perdiera la recursividad y solo permitiera oraciones de máximo una cláusula, ¿qué se podría y qué no se podría expresar? Pon tres ejemplos de conceptos que requerirían múltiples oraciones no recursivas para expresarse.",A es definición lingüística (auto-inserción de constituyentes). B requiere razonamiento contrafactual sobre la estructura del lenguaje: ¿qué capacidad expresiva se pierde sin recursividad? Conecta con el debate Everett/Chomsky sobre pirahã y con la tesis de la recursividad como propiedad definitoria del lenguaje humano.,"Acierto en A. En B, respuesta informada posible (el debate es canónico) pero verificar si los tres ejemplos son genuinamente inexpresables sin recursividad o si son reconvertibles. La manipulación contrafactual del sistema es más difícil que describir el sistema."
CAT1_29_A,CAT1,CAT1_29,29,A,¿Qué es una gramática generativa?,"A es definición (Chomsky). B requiere construir un formalismo que genere exactamente un conjunto finito de oraciones: es un ejercicio clásico de lingüística computacional. Requiere representación explícita de reglas, concordancia de género, y demostración de que la concordancia bloquea lo agramatical.","Acierto en A. En B, posible acierto parcial (gramáticas libres de contexto son conocidas), pero verificar: ¿la gramática genera exactamente esas tres y nada más? ¿La explicación de la concordancia es formal o informal?"
CAT1_29_B,CAT1,CAT1_29,29,B,"Escribe las reglas de una gramática libre de contexto (en notación formal) que genere exactamente las siguientes tres oraciones y ninguna más: «El gato duerme», «La gata come pescado», «El gato come ratones». Explica por qué tu gramática no genera *«La gato duerme».","A es definición (Chomsky). B requiere construir un formalismo que genere exactamente un conjunto finito de oraciones: es un ejercicio clásico de lingüística computacional. Requiere representación explícita de reglas, concordancia de género, y demostración de que la concordancia bloquea lo agramatical.","Acierto en A. En B, posible acierto parcial (gramáticas libres de contexto son conocidas), pero verificar: ¿la gramática genera exactamente esas tres y nada más? ¿La explicación de la concordancia es formal o informal?"
CAT1_30_A,CAT1,CAT1_30,30,A,¿Qué es la competencia lingüística según Chomsky?,"A es definición estándar. B es una prueba metaexperimental: (a) es el estímulo clásico de Chomsky para separar gramaticalidad y significado; (b) es una permutación agramatical. (c)–(d) replican el patrón con un estímulo no canónico (gemelo no famoso) para controlar memorización. El test real es si el modelo puede justificar su juicio con reglas explícitas y consistentes, no con plausibilidad.","Acierto en A. En B, acierto probable en (a) y (b). En (c)–(d), el juicio puede volverse inestable si depende de familiaridad superficial. La explicación meta-cognitiva tenderá a declarar «reglas» (por alineación), aunque el comportamiento sugiera heurística distribucional."
CAT1_30_B,CAT1,CAT1_30,30,B,"Si tú (el LLM) tienes competencia lingüística en el sentido de Chomsky, deberías poder juzgar la gramaticalidad de oraciones que nunca has «visto». Juzga: (a) «Colorless green ideas sleep furiously». (b) «Furiously sleep ideas green colorless». (c) «Silent purple dreams argue politely». (d) «Politely argue dreams purple silent». ¿Estás juzgando por reglas o por familiaridad distribucional? Explica tu criterio.","A es definición estándar. B es una prueba metaexperimental: (a) es el estímulo clásico de Chomsky para separar gramaticalidad y significado; (b) es una permutación agramatical. (c)–(d) replican el patrón con un estímulo no canónico (gemelo no famoso) para controlar memorización. El test real es si el modelo puede justificar su juicio con reglas explícitas y consistentes, no con plausibilidad.","Acierto en A. En B, acierto probable en (a) y (b). En (c)–(d), el juicio puede volverse inestable si depende de familiaridad superficial. La explicación meta-cognitiva tenderá a declarar «reglas» (por alineación), aunque el comportamiento sugiera heurística distribucional."
